name,code,state,zone,address,latitude,longitude
TIRUKOILUR,TRK,,,,11.976052306,79.22381373900001
SAGPHATA,SXA,,,,21.574033,76.392141
RAISHREE,RSRI,,,,25.362076000000002,77.591872
JO JAGABOR,JO,Gujarat,NWR,"Jo Jagabor, Gujarat",23.739452999999997,73.45304499999999
SIDULI,SXD,,,,23.6493523213,87.21232632290001
MIGRENDISA,MGE,Assam,NFR,"Migrendisa, Assam",25.171242,93.06155700000001
DHABAULI HALT,DHBI,,,,25.6820902631,85.3421818591
SRIKONA,SXO,,,,24.837109,92.71007999999999
VELANKANNI,VLNK,,,,10.687498999999999,79.846763
THARBAN,TBU,,,,19.268289,77.671001
DUMRI BIHAR,DMBR,,ECR,,23.807394000000002,85.766204
AHIRAN,AHN,West Bengal,ER,"National Highway 34, West Bengal",24.517687000000002,88.04112500000001
SAREIGRAM,SGAM,Madhya Pradesh,WCR,"Sidhi, Madhya Pradesh",24.039636,82.205614
Rambhawan Halt,RPWN,,,,25.2547478737,85.239275033
KAZIPARA HALT,KZPE,,,,23.909674000000003,88.188311
Hatighisa,HTA,,,,26.687630000000002,88.242284
NAGLAVI,NGV,,,,15.454853,74.908742
MIANGRAM,MIAN,West Bengal,ER,"Bazarsau, West Bengal",23.853212000000003,88.17146
KOLANALLI,CNY,,,,11.173276999999999,77.861414
KUMARAPURAM,KPM,,,,9.088507,77.833638
SOGARIYA CABIN,SGAC,,,,25.230055,75.90022099999999
PAZHAYA SEEVARAM,PYV,Tamil Nadu,SR,"Palayasivaram, Tamil Nadu",12.777131,79.8777
CHENGMARI,CNM,,,,26.863246999999998,89.004024
NEW GUWAHATI,NGC,,,,26.181703,91.792236
AHERA HALT,AHQ,Uttar Pradesh,NR,"Tatiri, Uttar Pradesh",28.926420999999998,77.27862400000001
SATYAVADA,STVA,Andhra Pradesh,SCR,"Coastal Andhra Region, Andhra Pradesh",16.799851999999998,81.66986
GHORPURI TRANSH,GIT,,,,18.5259235991,73.8987694873
Tariasujan,TRJ,,,,26.653609000000003,84.270833
Oddam Hatram,ODC,,,,10.4855987634,77.7465317596
HARDATTPUR,HDT,Uttar Pradesh,NER,"National Highway 2, Uttar Pradesh",25.276911474,82.9075993964
Radhikapur,RDP,West Bengal,NFR,"State Highway 10A, West Bengal",25.643573999999997,88.448153
Nurpura,NPH,,,,26.709463000000003,77.852085
Nagbhir Jn (Ng),NABN,,,,20.580232,79.700558
Kharuara Halt,KRRH,,,,25.4317780874,85.54376733149999
Duhru,DXU,,,,26.083606,80.176723
Gidam,GIZ,Chhattisgarh,ECoR,"National Highway 16, Chhattisgarh",18.934852,81.409001
Gani Dham Halt,GIF,Bihar,ER,"Gani Dham, Bihar",25.1634535646,86.9862695435
Mahawan Khor Halt,MVKR,,,,26.975829172700003,83.2768154944
Jumapatti,JTT,,,,19.004154000000003,73.308384
Jotana,JTN,,,,23.459001999999998,72.29427
Magra Hat,MGT,West Bengal,ER,"Magra Hat, West Bengal",22.242111,88.37271299999999
Manganallur,MNX,,,,11.024209599999999,79.6498049
Chinta Parru Ha,CTPR,,,,16.534799,81.70660500000001
Kankra Mirzanagar,KMZA,West Bengal,ER,"Mirzanagar, West Bengal",22.658005,88.721428
Kargaon Halt,KRGN,,,,20.801363000000002,79.41345000000001
Pusla,PUSA,,,,21.493095999999998,78.354883
Chintamani,CMY,,,,13.410991099999999,78.05456539999999
Singriawan,SGYW,,,,25.4095173407,85.28453529789999
Dhana Ladanpur,DZL,,,,28.7502173348,76.1667579382
